year; artist;
1979; Grandmaster Caz
1980; Kurtis Blow
1981; Kool Moe Dee
1982; Melle Mel
1983; Run
1984; Run
1985; LL Cool J
1986; KRS-One
1987; Rakim
1988; Slick Rick
1989; Big Daddy Kane
1990; Ice Cube
1991; Q-Tip
1992; Redman
1993; Snoop Lion
1994; Nas
1995; The Notorious B.I.G.
1996; 2Pac
1997; The Notorious B.I.G.
1998; DMX
1999; JAY-Z
2000; Eminem
2001; JAY-Z
2002; Eminem
2003; 50 Cent
2004; T.I.
2005; Jeezy
2006; Lil Wayne
2007; Kanye West
2008; Lil Wayne
2009; JAY-Z
2010; Kayne West
2011; Drake
2012; Drake
2013; Kendrick Lamar
2014; Nicki Minaj
2015; Drake
2016; Chance the Rapper
2017; Kendrick Lamar
2018; Pusha-T
2019; DaBaby
2020; Lil Baby
2021; Tyler, The Creator
